Name,experience,origin,salary_current,daily_rate,zip,contract,category,recruiter,Date Added
candidate_0,junior,indeed,0.0,0.0,-1,,,,1701302400000
candidate_1,senior,indeed,0.0,0.0,-1,,,,1703894400000
candidate_2,lead,linkedin,0.0,0.0,-1,,,,1689120000000
candidate_3,entry,indeed,0.0,0.0,-1,,,,1693526400000
candidate_4,senior,linkedin,0.0,0.0,-1,,,,1703462400000
candidate_5,lead,referral,0.0,0.0,-1,,,,1691452800000
candidate_6,senior,referral,0.0,0.0,-1,,,,1692835200000
candidate_7,mid,glassdoor,0.0,0.0,-1,,,,1695254400000
candidate_8,senior,linkedin,0.0,0.0,-1,,,,1689811200000
candidate_9,entry,direct,0.0,0.0,-1,,,,1689811200000
candidate_10,principal,glassdoor,0.0,0.0,-1,,,,1703030400000
candidate_11,senior,indeed,0.0,0.0,-1,,,,1703462400000
candidate_12,entry,referral,0.0,0.0,-1,,,,1691971200000
candidate_13,senior,linkedin,0.0,0.0,-1,,,,1697328000000
candidate_14,entry,referral,0.0,0.0,-1,,,,1701993600000
candidate_15,mid,direct,0.0,0.0,-1,,,,1695686400000
candidate_16,lead,indeed,0.0,0.0,-1,,,,1699574400000
candidate_17,principal,direct,0.0,0.0,-1,,,,1697673600000
candidate_18,junior,referral,0.0,0.0,-1,,,,1689033600000
candidate_19,junior,linkedin,0.0,0.0,-1,,,,1701648000000
candidate_20,junior,direct,0.0,0.0,-1,,,,1698451200000
candidate_21,entry,referral,0.0,0.0,-1,,,,1700784000000
candidate_22,lead,indeed,0.0,0.0,-1,,,,1700611200000
candidate_23,lead,indeed,0.0,0.0,-1,,,,1695254400000
candidate_24,lead,indeed,0.0,0.0,-1,,,,1692748800000
candidate_25,entry,linkedin,0.0,0.0,-1,,,,1696032000000
candidate_26,junior,referral,0.0,0.0,-1,,,,1688688000000
candidate_27,principal,glassdoor,0.0,0.0,-1,,,,1689897600000
candidate_28,senior,referral,0.0,0.0,-1,,,,1688688000000
candidate_29,entry,linkedin,0.0,0.0,-1,,,,1698019200000
candidate_30,entry,indeed,0.0,0.0,-1,,,,1698710400000
candidate_31,entry,direct,0.0,0.0,-1,,,,1703721600000
candidate_32,junior,indeed,0.0,0.0,-1,,,,1694908800000
candidate_33,junior,referral,0.0,0.0,-1,,,,1697241600000
candidate_34,mid,linkedin,0.0,0.0,-1,,,,1694563200000
candidate_35,lead,direct,0.0,0.0,-1,,,,1701734400000
candidate_36,entry,indeed,0.0,0.0,-1,,,,1701820800000
candidate_37,senior,glassdoor,0.0,0.0,-1,,,,1693699200000
candidate_38,senior,referral,0.0,0.0,-1,,,,1701734400000
candidate_39,principal,direct,0.0,0.0,-1,,,,1688860800000
candidate_40,principal,glassdoor,0.0,0.0,-1,,,,1697155200000
candidate_41,mid,referral,0.0,0.0,-1,,,,1701302400000
candidate_42,mid,indeed,0.0,0.0,-1,,,,1689120000000
candidate_43,junior,indeed,0.0,0.0,-1,,,,1694736000000
candidate_44,principal,referral,0.0,0.0,-1,,,,1702339200000
candidate_45,entry,linkedin,0.0,0.0,-1,,,,1693267200000
candidate_46,entry,indeed,0.0,0.0,-1,,,,1691884800000
candidate_47,lead,glassdoor,0.0,0.0,-1,,,,1695340800000
candidate_48,principal,glassdoor,0.0,0.0,-1,,,,1695340800000
candidate_49,lead,referral,0.0,0.0,-1,,,,1701043200000
candidate_50,junior,referral,0.0,0.0,-1,,,,1700697600000
candidate_51,mid,linkedin,0.0,0.0,-1,,,,1688601600000
candidate_52,senior,referral,0.0,0.0,-1,,,,1692576000000
candidate_53,junior,indeed,0.0,0.0,-1,,,,1703289600000
candidate_54,mid,referral,0.0,0.0,-1,,,,1703548800000
candidate_55,senior,direct,0.0,0.0,-1,,,,1700524800000
candidate_56,lead,direct,0.0,0.0,-1,,,,1694476800000
candidate_57,mid,glassdoor,0.0,0.0,-1,,,,1695945600000
candidate_58,lead,direct,0.0,0.0,-1,,,,1696032000000
candidate_59,lead,referral,0.0,0.0,-1,,,,1691020800000
candidate_60,junior,referral,0.0,0.0,-1,,,,1690761600000
candidate_61,senior,direct,0.0,0.0,-1,,,,1702166400000
candidate_62,senior,direct,0.0,0.0,-1,,,,1696723200000
candidate_63,entry,glassdoor,0.0,0.0,-1,,,,1691020800000
candidate_64,mid,indeed,0.0,0.0,-1,,,,1693180800000
candidate_65,junior,referral,0.0,0.0,-1,,,,1691452800000
candidate_66,principal,direct,0.0,0.0,-1,,,,1698624000000
candidate_67,entry,glassdoor,0.0,0.0,-1,,,,1700092800000
candidate_68,mid,glassdoor,0.0,0.0,-1,,,,1700697600000
candidate_69,lead,indeed,0.0,0.0,-1,,,,1691452800000
candidate_70,mid,indeed,0.0,0.0,-1,,,,1690156800000
candidate_71,lead,glassdoor,0.0,0.0,-1,,,,1698019200000
candidate_72,mid,linkedin,0.0,0.0,-1,,,,1689811200000
candidate_73,junior,linkedin,0.0,0.0,-1,,,,1689206400000
candidate_74,senior,glassdoor,0.0,0.0,-1,,,,1698192000000
candidate_75,senior,glassdoor,0.0,0.0,-1,,,,1689811200000
candidate_76,junior,linkedin,0.0,0.0,-1,,,,1694304000000
candidate_77,mid,referral,0.0,0.0,-1,,,,1692403200000
candidate_78,lead,referral,0.0,0.0,-1,,,,1695686400000
